"","from","to","source","database","layer"
"1","AR","COL10A1","harmonizome_CHEA","harmonizome_gr","regulatory"
"2","AR","COL10A1","HTRIDB","HTRIDB","regulatory"
"3","AR","COL10A1","Remap_5","Remap","regulatory"
"4","ESR1","COL10A1","harmonizome_TRANSFAC_CUR","harmonizome_gr","regulatory"
"5","ESR1","COL10A1","lr_pathwaycommons_controls_expression_of","pathwaycommons_expression","regulatory"
"6","RUNX2","COL10A1","harmonizome_JASPAR","harmonizome_gr","regulatory"
"7","RUNX2","COL10A1","regnetwork_source","regnetwork","regulatory"
"8","RUNX2","COL10A1","trrust","trrust","regulatory"
"9","RUNX2","COL10A1","evex_regulation_expression","evex_expression","regulatory"
"10","TGFB1","COL10A1","lr_pathwaycommons_controls_expression_of","pathwaycommons_expression","regulatory"
"11","AR","ESR1","omnipath_directional","omnipath","ligand_signaling"
"12","AR","ESR1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling","ligand_signaling"
"13","AR","ESR1","omnipath_undirectional","omnipath","ligand_signaling"
"14","AR","ESR1","evex_binding","evex_signaling","ligand_signaling"
"15","AR","ESR1","pathwaycommons_interacts_with","pathwaycommons_signaling","ligand_signaling"
"16","AR","ESR1","inweb_inbio_pathway","inweb_inbiomap","ligand_signaling"
"17","AR","RUNX2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling","ligand_signaling"
"18","AR","RUNX2","vinayagam_ppi","vinayagam","ligand_signaling"
"19","AR","RUNX2","omnipath_undirectional","omnipath","ligand_signaling"
"20","AR","RUNX2","inweb_inbio_pathway","inweb_inbiomap","ligand_signaling"
"21","AR","RUNX2","pathwaycommons_in_complex_with","pathwaycommons_signaling","ligand_signaling"
"22","AR","RUNX2","pathwaycommons_interacts_with","pathwaycommons_signaling","ligand_signaling"
"23","AR","SMAD3","vinayagam_ppi","vinayagam","ligand_signaling"
"24","AR","SMAD3","omnipath_undirectional","omnipath","ligand_signaling"
"25","AR","SMAD3","inweb_inbio_interaction_pathway","inweb_inbiomap","ligand_signaling"
"26","AR","SMAD3","evex_binding","evex_signaling","ligand_signaling"
"27","AR","SMAD3","pathwaycommons_in_complex_with","pathwaycommons_signaling","ligand_signaling"
"28","AR","SMAD3","pathwaycommons_interacts_with","pathwaycommons_signaling","ligand_signaling"
"29","ESR1","AR","omnipath_directional","omnipath","ligand_signaling"
"30","ESR1","AR","pathwaycommons_catalysis_precedes","pathwaycommons_signaling","ligand_signaling"
"31","ESR1","AR","pathwaycommons_controls_state_change_of","pathwaycommons_signaling","ligand_signaling"
"32","ESR1","AR","vinayagam_ppi","vinayagam","ligand_signaling"
"33","ESR1","AR","omnipath_undirectional","omnipath","ligand_signaling"
"34","ESR1","AR","inweb_inbio_pathway","inweb_inbiomap","ligand_signaling"
"35","ESR1","AR","evex_binding","evex_signaling","ligand_signaling"
"36","ESR1","AR","pathwaycommons_interacts_with","pathwaycommons_signaling","ligand_signaling"
"37","ESR1","RUNX2","pathwaycommons_in_complex_with","pathwaycommons_signaling","ligand_signaling"
"38","ESR1","SMAD3","omnipath_directional","omnipath","ligand_signaling"
"39","ESR1","SMAD3","pathwaycommons_controls_state_change_of","pathwaycommons_signaling","ligand_signaling"
"40","ESR1","SMAD3","vinayagam_ppi","vinayagam","ligand_signaling"
"41","ESR1","SMAD3","omnipath_undirectional","omnipath","ligand_signaling"
"42","ESR1","SMAD3","inweb_inbio_interaction_pathway","inweb_inbiomap","ligand_signaling"
"43","ESR1","SMAD3","evex_binding","evex_signaling","ligand_signaling"
"44","ESR1","SMAD3","pathwaycommons_in_complex_with","pathwaycommons_signaling","ligand_signaling"
"45","ESR1","SMAD3","pathwaycommons_interacts_with","pathwaycommons_signaling","ligand_signaling"
"46","ESR1","SMAD3","cpdb_interaction","cpdb","ligand_signaling"
"47","ESR1","SMAD3","cpdb_complex","cpdb","ligand_signaling"
"48","RUNX2","AR","vinayagam_ppi","vinayagam","ligand_signaling"
"49","RUNX2","AR","omnipath_undirectional","omnipath","ligand_signaling"
"50","RUNX2","AR","inweb_inbio_pathway","inweb_inbiomap","ligand_signaling"
"51","RUNX2","AR","pathwaycommons_in_complex_with","pathwaycommons_signaling","ligand_signaling"
"52","RUNX2","AR","pathwaycommons_interacts_with","pathwaycommons_signaling","ligand_signaling"
"53","RUNX2","ESR1","pathwaycommons_in_complex_with","pathwaycommons_signaling","ligand_signaling"
"54","RUNX2","SMAD3","vinayagam_ppi","vinayagam","ligand_signaling"
"55","RUNX2","SMAD3","cpdb_interaction","cpdb","ligand_signaling"
"56","RUNX2","SMAD3","cpdb_complex","cpdb","ligand_signaling"
