id	geneSymbol	geneCoordinate
ENSG00000000457	SCYL3	chr1:169818572-169863608
ENSG00000000971	CFH	chr1:196620808-196716834
ENSG00000001036	FUCA2	chr6:143815748-143833027
ENSG00000001084	GCLC	chr6:53361939-53481968
ENSG00000001497	LAS1L	chrX:64732262-64754855
ENSG00000001631	KRIT1	chr7:91828083-91875680
ENSG00000002549	LAP3	chr4:17578615-17609795
ENSG00000002587	HS3ST1	chr4:11394574-11431589
ENSG00000002933	TMEM176A	chr7:150497291-150502408
ENSG00000003056	M6PR	chr12:9092759-9102751
ENSG00000003402	CFLAR	chr2:201980627-202041610
ENSG00000003436	TFPI	chr2:188328757-188430687
ENSG00000003509	NDUFAF7	chr2:37458574-37480746
ENSG00000003987	MTMR7	chr8:17155339-17271237
ENSG00000003989	SLC7A2	chr8:17354397-17428282
ENSG00000004142	POLDIP2	chr17:26673459-26684745
ENSG00000004455	AK2	chr1:33473385-33546797
ENSG00000004478	FKBP4	chr12:2903919-2914776
ENSG00000004487	KDM1A	chr1:23345741-23410382
ENSG00000004534	RBM6	chr3:49977240-50137678
ENSG00000004777	ARHGAP33	chr19:36265234-36279924
ENSG00000004799	PDK4	chr7:95212611-95226003
ENSG00000005007	UPF1	chr19:18942547-18979245
ENSG00000005059	CCDC109B	chr4:110481161-110610074
ENSG00000005075	POLR2J	chr7:102113365-102119554
ENSG00000005108	THSD7A	chr7:11409784-11872024
ENSG00000005156	LIG3	chr17:33307313-33332283
ENSG00000005436	GCFC2	chr2:75878926-75938315
ENSG00000005448	WDR54	chr2:74648605-74653082
ENSG00000005483	KMT2E	chr7:104654426-104755008
ENSG00000005810	MYCBP2	chr13:77618592-77901385
ENSG00000005812	FBXL3	chr13:77566540-77601530
ENSG00000005893	LAMP2	chrX:119561482-119603420
ENSG00000005955	GGNBP2	chr17:34900537-34946478
ENSG00000006016	CRLF1	chr19:18682830-18718751
ENSG00000006042	TMEM98	chr17:31254728-31272324
ENSG00000006118	TMEM132A	chr11:60691735-60704831
ENSG00000006194	ZNF263	chr16:3313543-3351601
ENSG00000006453	BAIAP2L1	chr7:97920763-98030580
ENSG00000006530	AGK	chr7:141250789-141355244
ENSG00000006607	FARP2	chr2:242295458-242434456
ENSG00000006712	PAF1	chr19:39876292-39882035
ENSG00000006715	VPS41	chr7:38762363-38972194
ENSG00000006740	ARHGAP44	chr17:12692656-12895160
ENSG00000006831	ADIPOR2	chr12:1797540-1898044
ENSG00000007168	PAFAH1B1	chr17:2496304-2589109
ENSG00000007341	ST7L	chr1:113065940-113163647
ENSG00000007372	PAX6	chr11:31806140-31839709
ENSG00000007866	TEAD3	chr6:35441174-35465053
ENSG00000008083	JARID2	chr6:15246327-15522452
ENSG00000008226	DLEC1	chr3:38080496-38165716
ENSG00000008277	ADAM22	chr7:87563258-87832404
ENSG00000008294	SPAG9	chr17:49039335-49198426
ENSG00000008323	PLEKHG6	chr12:6419402-6437872
ENSG00000008394	MGST1	chr12:16499876-16762393
ENSG00000008441	NFIX	chr19:13106222-13209810
ENSG00000008853	RHOBTB2	chr8:22844730-22877912
ENSG00000008952	SEC62	chr3:169684223-169716361
ENSG00000008988	RPS20	chr8:56979654-56987269
ENSG00000009307	CSDE1	chr1:115259334-115301497
ENSG00000009413	REV3L	chr6:111620034-111805118
ENSG00000009724	MASP2	chr1:11086380-11107490
ENSG00000009790	TRAF3IP3	chr1:209929177-209955868
ENSG00000009954	BAZ1B	chr7:72854528-72936808
ENSG00000010017	RANBP9	chr6:13621530-13711996
ENSG00000010072	SPRTN	chr1:231472650-231490969
ENSG00000010361	FUZ	chr19:50309926-50320833
ENSG00000010379	SLC6A13	chr12:329589-372239
ENSG00000010610	CD4	chr12:6895824-6930174
ENSG00000010810	FYN	chr6:111981335-112194855
ENSG00000011007	TCEB3	chr1:24069445-24088749
ENSG00000011009	LYPLA2	chr1:24117260-24122229
ENSG00000011028	MRC2	chr17:60704562-60771158
ENSG00000011243	AKAP8L	chr19:15490659-15530152
ENSG00000011260	UTP18	chr17:49337689-49375497
ENSG00000011295	TTC19	chr17:15902494-15948529
ENSG00000011405	PIK3C2A	chr11:17099077-17229730
ENSG00000011454	RABGAP1	chr9:125702912-125867345
ENSG00000011465	DCN	chr12:91538825-91577100
ENSG00000011485	PPP5C	chr19:46850051-46896438
ENSG00000011523	CEP68	chr2:65283300-65314338
ENSG00000011590	ZBTB32	chr19:36195229-36208140
ENSG00000012660	ELOVL5	chr6:53131996-53214147
ENSG00000012822	CALCOCO1	chr12:54104703-54121729
ENSG00000013288	MAN2B2	chr4:6576702-6625289
ENSG00000013293	SLC7A14	chr3:170177172-170304063
ENSG00000013364	MVP	chr16:29831515-29859555
ENSG00000013374	NUB1	chr7:151038585-151075735
ENSG00000013375	PGM3	chr6:83870669-83903855
ENSG00000013441	CLK1	chr2:201717532-201729622
ENSG00000014123	UFL1	chr6:96969271-97003352
ENSG00000014824	SLC30A9	chr4:41992289-42092674
ENSG00000014919	COX15	chr10:101471401-101492057
ENSG00000015171	ZMYND11	chr10:180205-300777
ENSG00000015475	BID	chr22:18216706-18257736
ENSG00000015479	MATR3	chr5:138609241-138667560
ENSG00000015532	XYLT2	chr17:48423253-48440699
ENSG00000016391	CHDH	chr3:53846162-53880617
ENSG00000016864	GLT8D1	chr3:52728305-52740248
ENSG00000017797	RALBP1	chr18:9474807-9538314
ENSG00000018189	RUFY3	chr4:71569721-71673232
ENSG00000018236	CNTN1	chr12:41086044-41466420
ENSG00000018280	SLC11A1	chr2:219246552-219261817
ENSG00000018408	WWTR1	chr3:149234822-149454701
ENSG00000018510	AGPS	chr2:178257172-178408764
ENSG00000018869	ZNF582	chr19:56887213-56905114
ENSG00000019582	CD74	chr5:149781000-149792692
ENSG00000019995	ZRANB1	chr10:126630492-126676958
ENSG00000020181	GPR124	chr8:37641509-37702614
ENSG00000020577	SAMD4A	chr14:55033615-55260233
ENSG00000021300	PLEKHB1	chr11:73357023-73374064
ENSG00000021574	SPAST	chr2:32288480-32382906
ENSG00000022267	FHL1	chrX:135229359-135293718
ENSG00000022277	RTFDC1	chr20:55043447-55094143
ENSG00000022567	SLC45A4	chr8:142217065-142318604
